Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
9,Barbara Hügli (CHE),2.0,2.0,,00:00,40,40 m,RED,0.0,DQSP,Schweizer und Deutsche Meisterschaft im Tieftauchen 3023,Depth Competition,2012-08-18,other,2012-08-18,Barbara Hügli,CHE,8,10,5,1
23,Beata Grickevica (LVA),2.0,2.0,,00:00,63,63 m,RED,0.0,DQSP,RedCcup,Competition,2015-08-27,other,2015-08-27,Beata Grickevica,LVA,8,9,4,1
3,Beci Ryan (GBR),2.0,1.0,,00:00,35,35 m,RED,0.0,Dqsp,AIDA Infinity Depth Games 6,Depth Competition,2020-10-16,other,2020-10-16,Beci Ryan,GBR,10,14,5,2
38,Bin Ting Huang (TPE),2.0,2.0,1.0,13:27,59,59 m,RED,0.0,Dqsp,AIDA Taiwanese Cup 2022,Depth Competition,2022-03-22,other,2022-03-22,Bin Ting Huang,TPE,3,1,1,1
11,Birgit Standhartinger (AUT),2.0,3.0,,00:00,56,56 m,RED,0.0,BO,Swiss Championship Lake 2018,Depth Competition,2018-08-25,other,2018-08-25,Birgit Standhartinger,AUT,8,3,1,1
2,Birgit Standhartinger (AUT),2.0,3.0,,00:00,73,73 m,RED,0.0,Dqsp,Infinity Depth Games 5,Depth Competition,2019-10-19,other,2019-10-19,Birgit Standhartinger,AUT,10,11,5,1
24,Brigitte Banegas (FRA),2.0,1.0,,00:00,52,44 m,RED,0.0,"Rpap,no tag,dqpull,dqother",AIDA NICE ABYSS CONTEST 2022,Depth Competition,2022-06-26,NAC,2022-06-26,Brigitte Banegas,FRA,6,23,7,2
9,Brigitte Banegas (FRA),2.0,1.0,1.0,10:10,59,59 m,RED,0,Dqpull,The AIDA Cormorant Depth Challenge,Depth Competition,2023-07-22,other,2023-07-22,Brigitte Banegas,FRA,7,30,11,2
53,Camila Jaber (MEX),2.0,2.0,,00:00,67,0 m,RED,0.0,DQBO,NIRVANA OCEANQUEST,Depth Competition,2015-06-06,other,2015-06-06,Camila Jaber,MEX,6,5,4,1
3,Camilla Salling Olsen (DNK),2.0,3.0,,00:00,30,25 m,RED,19.0,"Early, No tag",Vertical Green 2016,Competition,2016-05-16,other,2016-05-16,Camilla Salling Olsen,DNK,5,14,7,1
8,Cao San (CHN),2.0,1.0,,00:00,10,10 m,RED,0.0,Airway,Deeper Blue Freediving Depth Competition 2018,Depth Competition,2018-07-25,other,2018-07-25,Cao San,CHN,7,3,1,2
83,Carla Hanson (USA),2.0,1.0,,00:00,46,-2 m,RED,0.0,DQSP,Vertical Blue 2010 - the Suunto Dive-Off,Depth Competition,2010-04-27,VB,2010-04-27,Carla Hanson,USA,4,9,7,2
82,Carla Hanson (USA),2.0,1.0,,00:00,46,-2 m,RED,0.0,DQSP,Vertical Blue 2011,Depth Competition,2011-04-17,VB,2011-04-17,Carla Hanson,USA,4,18,13,2
83,Carla Hanson (USA),2.0,1.0,,00:00,49,-2 m,RED,0.0,DQOTHER,Vertical Blue 2011,Depth Competition,2011-04-17,VB,2011-04-17,Carla Hanson,USA,4,19,14,2
84,Carla Hanson (USA),2.0,1.0,,00:00,49,-2 m,RED,0.0,DQSP,Vertical Blue 2011,Depth Competition,2011-04-17,VB,2011-04-17,Carla Hanson,USA,4,20,15,2
