Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline
1,Agata Bogusz (POL),2.0,1.0,,00:00,46,46 m,WHITE,46.0,National Record,Freedive Panglao July 2017 Minicompetition,Depth Competition,2017-07-28,Panglao,2017-07-28,Agata Bogusz,POL,7,7,3
5,Agata Bogusz (POL),2.0,3.0,,00:00,81,81 m,WHITE,81.0,National Record,Freedive Panglao August 2017 Minicompetition,Depth Competition,2017-08-26,Panglao,2017-08-26,Agata Bogusz,POL,8,8,3
4,Agata Bogusz (POL),2.0,3.0,,00:00,85,85 m,WHITE,85.0,National Record,Freedive Panglao August 2017 Minicompetition,Depth Competition,2017-08-27,Panglao,2017-08-27,Agata Bogusz,POL,8,9,4
3,Agata Bogusz (POL),2.0,3.0,,00:00,92,92 m,WHITE,92.0,Ok,AIDA Calm Zone Oktoberfest!,Depth Competition,2019-10-06,other,2019-10-06,Agata Bogusz,POL,10,10,5
1,Agata Bogusz (POL),2.0,3.0,,00:00,100,91 m,YELLOW,81.0,"No tag,rp<ap",AIDA Calm Zone Oktoberfest!,Depth Competition,2019-10-11,other,2019-10-11,Agata Bogusz,POL,10,11,6
1,Agata Bogusz (POL),2.0,3.0,,00:00,101,101 m NR,WHITE,101.0,Ok,AIDA Calm Zone Oktoberfest!,Depth Competition,2019-10-13,other,2019-10-13,Agata Bogusz,POL,10,12,7
35,Agata Depka (POL),2.0,3.0,,00:00,26,26 m,WHITE,26.0,OK,Finnish Freediving Championship 2004,Competition,2004-07-31,other,2004-07-31,Agata Depka,POL,7,1,1
3,Agata Depka (POL),2.0,3.0,,00:00,38,28 m,YELLOW,17.0,PEN,FDTF Invitational,Competition,2005-07-16,other,2005-07-16,Agata Depka,POL,7,2,2
2,Agata Załęcka (POL),2.0,1.0,,00:00,44,44 m,WHITE,44.0,Ok,Deepspot Aida Mini Comp,Depth Competition,2021-08-05,other,2021-08-05,Agata Załęcka,POL,8,1,1
14,Agata Załęcka (POL),2.0,2.0,1.0,11:32,60,60 m,WHITE,60.0,Ok,Depth World Championship,Depth Competition,2022-08-19,World Championship,2022-08-19,Agata Załęcka,POL,8,2,1
9,Agata Załęcka (POL),2.0,1.0,1.0,11:00,50,50 m,WHITE,50.0,Ok,Depth World Championship,Depth Competition,2022-08-21,World Championship,2022-08-21,Agata Załęcka,POL,8,3,2
13,Agata Załęcka (POL),2.0,3.0,1.0,11:12,60,60 m,WHITE,60.0,Ok,Depth World Championship,Depth Competition,2022-08-23,World Championship,2022-08-23,Agata Załęcka,POL,8,4,1
14,Agata Załęcka (POL),2.0,1.0,,00:00,44,44 m,WHITE,44.0,Ok,Deepspot Aida Mini Comp,Depth Competition,2023-02-16,other,2023-02-16,Agata Załęcka,POL,2,5,3
17,Agnes Tresaieui (FRA),2.0,3.0,,00:00,0,41 m,WHITE,41.0,OK,French Cup of NUC Subaquatic 2002,Pool Competition,2002-05-25,other,2002-05-25,Agnes Tresaieui,FRA,5,1,1
121,Agnes Tresaieui (FRA),2.0,3.0,,00:00,40,40 m,YELLOW,30.0,PEN,Sony Freediver Open Classic 2003,Mixed Competition,2003-05-29,other,2003-05-29,Agnes Tresaieui,FRA,5,2,2
4,Agnieszka Kalska (POL),2.0,2.0,,00:00,31,31 m,WHITE,31.0,-,The Crystal Water Competition | Zawody Krystalicznej Wody,Depth Competition,2017-08-15,other,2017-08-15,Agnieszka Kalska,POL,8,1,1
1,Agnieszka Kalska (POL),2.0,1.0,,00:00,30,30 m,WHITE,30.0,-,The Crystal Water Competition | Zawody Krystalicznej Wody,Depth Competition,2017-08-16,other,2017-08-16,Agnieszka Kalska,POL,8,2,1
4,Agnieszka Kalska (POL),2.0,3.0,,00:00,39,39 m,WHITE,39.0,-,The Crystal Water Competition | Zawody Krystalicznej Wody,Depth Competition,2017-08-18,other,2017-08-18,Agnieszka Kalska,POL,8,3,1
5,Agnieszka Kalska (POL),2.0,2.0,,00:00,43,43 m,WHITE,43.0,-,The Crystal Water Competition | Zawody Krystalicznej Wody,Depth Competition,2017-08-19,other,2017-08-19,Agnieszka Kalska,POL,8,4,2
2,Agnieszka Kalska (POL),2.0,1.0,,00:00,46,46 m,RED,0.0,DQ BO,XI Głębokościowe Mistrzostwa Polski we Freedivingu ,Depth Competition,2018-08-23,other,2018-08-23,Agnieszka Kalska,POL,8,5,2
5,Agnieszka Kalska (POL),2.0,3.0,,00:00,45,45 m,WHITE,45.0,-,XI Głębokościowe Mistrzostwa Polski we Freedivingu ,Depth Competition,2018-08-24,other,2018-08-24,Agnieszka Kalska,POL,8,6,2
3,Agnieszka Kalska (POL),2.0,2.0,,00:00,48,48 m,WHITE,48.0,-,XI Głębokościowe Mistrzostwa Polski we Freedivingu ,Depth Competition,2018-09-19,other,2018-09-19,Agnieszka Kalska,POL,9,7,3
15,Agnieszka Kalska (POL),2.0,1.0,,00:00,48,48 m,WHITE,48.0,Ok,AIDA Freediving World CUP,Depth Competition,2021-05-12,World Championship,2021-05-12,Agnieszka Kalska,POL,5,8,3
22,Agnieszka Kalska (POL),2.0,2.0,,00:00,58,52 m,YELLOW,45.0,"No tag,rp<ap",AIDA Freediving World CUP,Depth Competition,2021-05-14,World Championship,2021-05-14,Agnieszka Kalska,POL,5,9,4
4,Agnieszka Kalska (POL),2.0,3.0,,00:00,60,60 m,WHITE,60.0,Ok,AIDA Freediving World CUP,Depth Competition,2021-05-15,World Championship,2021-05-15,Agnieszka Kalska,POL,5,10,3
